index , model       , n_hidden, lr    , n_epochs  , acc_train , acc_valid , time  
1, densenet161 ,256,0.002,3,0.641,0.853,2.739
2, densenet161 ,256,0.004,3,0.642,0.894,2.763
3, densenet161 ,256,0.006,3,0.478,0.741,2.727
4, densenet161 ,512,0.002,3,0.683,0.889,2.766
5, densenet161 ,512,0.004,3,0.685,0.878,2.741
6, densenet161 ,512,0.006,3,0.615,0.842,2.765
7, densenet161 ,768,0.002,3,0.711,0.885,2.729
8, densenet161 ,768,0.004,3,0.723,0.897,2.73
9, densenet161 ,768,0.006,3,0.648,0.859,2.73
10, densenet161 ,1024,0.002,3,0.727,0.881,2.727
11, densenet161 ,1024,0.004,3,0.721,0.88,2.729
12, densenet161 ,1024,0.006,3,0.665,0.875,2.723
13, densenet161 ,1536,0.002,3,0.746,0.891,2.727
14, densenet161 ,1536,0.004,3,0.737,0.9,2.733
15, densenet161 ,1536,0.006,3,0.689,0.856,2.73
16, densenet161 ,2048,0.002,3,0.741,0.9,2.75
17, densenet161 ,2048,0.004,3,0.758,0.895,2.736
18, densenet161 ,2048,0.006,3,0.691,0.872,2.73
19, densenet161 ,3072,0.002,3,0.764,0.901,2.743
20, densenet161 ,3072,0.004,3,0.762,0.892,2.742
21, densenet161 ,3072,0.006,3,0.719,0.888,2.737
22, densenet161 ,4096,0.002,3,0.774,0.897,2.746
23, densenet161 ,4096,0.004,3,0.768,0.925,2.748
24, densenet161 ,4096,0.006,3,0.718,0.883,2.743
25, vgg16_bn    ,256,0.002,3,0.604,0.803,2.617
26, vgg16_bn    ,256,0.004,3,0.585,0.834,2.62
27, vgg16_bn    ,256,0.006,3,0.559,0.776,2.623
28, vgg16_bn    ,512,0.002,3,0.629,0.812,2.642
29, vgg16_bn    ,512,0.004,3,0.618,0.819,2.624
30, vgg16_bn    ,512,0.006,3,0.591,0.801,2.629
31, vgg16_bn    ,768,0.002,3,0.638,0.82,2.632
32, vgg16_bn    ,768,0.004,3,0.627,0.823,2.632
33, vgg16_bn    ,768,0.006,3,0.595,0.796,2.629
34, vgg16_bn    ,1024,0.002,3,0.64,0.815,2.641
35, vgg16_bn    ,1024,0.004,3,0.638,0.828,2.638
36, vgg16_bn    ,1024,0.006,3,0.619,0.82,2.636
37, vgg16_bn    ,1536,0.002,3,0.647,0.826,2.404
38, vgg16_bn    ,1536,0.004,3,0.649,0.814,2.437
39, vgg16_bn    ,1536,0.006,3,0.621,0.817,2.438
40, vgg16_bn    ,2048,0.002,3,0.644,0.811,2.438
41, vgg16_bn    ,2048,0.004,3,0.645,0.847,2.444
42, vgg16_bn    ,2048,0.006,3,0.622,0.826,2.446
43, vgg16_bn    ,3072,0.002,3,0.657,0.815,2.48
44, vgg16_bn    ,3072,0.004,3,0.653,0.858,2.48
45, vgg16_bn    ,3072,0.006,3,0.642,0.828,2.476
46, vgg16_bn    ,4096,0.002,3,0.653,0.842,2.527
47, vgg16_bn    ,4096,0.004,3,0.645,0.836,2.566
48, vgg16_bn    ,4096,0.006,3,0.642,0.825,2.559
